Year,Month,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit,YearMonth_Str
2025,1,134.35413877425654,26510279.33467742,9054482.060231857,34.15460827826103,-17455797.274445564,2025-01
2025,2,134.59931346348353,24830684.04575893,9222969.751674108,37.14343807314236,-15607714.29408482,2025-02
2025,3,129.54029747747606,23143369.899193548,9206328.629032258,39.7795509864493,-13937041.27016129,2025-03
2025,4,133.12746607462566,23395646.0625,9272426.8828125,39.633130275786336,-14123219.1796875,2025-04
2025,5,122.4790991506269,23342734.324596774,9287783.142641129,39.788754022935436,-14054951.181955645,2025-05
2025,6,115.23263498942057,23352434.25,9290419.289062502,39.78351545540698,-14062014.960937498,2025-06
2025,7,117.91425126598728,23759332.48487903,9214394.969758065,38.78221316033315,-14544937.515120966,2025-07
2025,8,121.46341483823714,23320064.667338714,8980734.012096774,38.51075946918313,-14339330.65524194,2025-08
2025,9,144.28639017740886,23561900.015625,8178380.929687499,34.71019282937298,-15383519.0859375,2025-09
2025,10,144.2597395373929,23563087.076612905,8080416.789314516,34.29269162840119,-15482670.287298389,2025-10
2025,11,171.92194061279298,23180932.03125,8068622.6015625,34.80715352896624,-15112309.4296875,2025-11
2025,12,185.18766194005167,22455226.179435484,8091826.126512096,36.03538019101584,-14363400.052923389,2025-12
2026,1,177.4009812878024,23045168.785282258,8131136.121471775,35.28347393430551,-14914032.663810484,2026-01
2026,2,170.2522484915597,23380684.8046875,8144247.555803571,34.83322932513407,-15236437.24888393,2026-02
2026,3,179.58202337449598,23284127.494959675,8186796.267641129,35.16041676637155,-15097331.227318546,2026-03
2026,4,166.17714233398436,23412898.078125,8250204.375,35.23786054793568,-15162693.703125,2026-04
2026,5,134.53517077046055,23151353.407258064,8232890.556955644,35.561163151587465,-14918462.85030242,2026-05
2026,6,133.8934295654297,23519490.28125,8256516.046874999,35.10499567865714,-15262974.234375,2026-06
2026,7,134.71293074084866,23743021.073588714,8182005.945060484,34.46067760164688,-15561015.12852823,2026-07
2026,8,134.77115360383064,23329089.027217742,8099264.100302419,34.71744692153694,-15229824.926915323,2026-08
2026,9,137.86914825439453,23579791.96875,8092279.4296875,34.3187057816799,-15487512.5390625,2026-09
2026,10,140.9299771708827,23444718.659274194,8071374.828629033,34.427262471909344,-15373343.830645163,2026-10
2026,11,167.25164616902669,23286654.984375,8078302.875,34.69069679788884,-15208352.109375,2026-11
2026,12,185.66229395712577,22521448.215725806,8086663.669354838,35.906499404013694,-14434784.546370968,2026-12
2027,1,177.2308152721774,22767316.013104837,8120994.904233871,35.66953126824188,-14646321.108870966,2027-01
2027,2,170.10883276803153,23386683.26450893,8144247.555803571,34.82429493609761,-15242435.708705358,2027-02
2027,3,180.10196759623867,23460332.933467742,8207287.394153225,34.98367826845704,-15253045.539314516,2027-03
2027,4,177.78097279866537,23399308.359375,8249338.1484375,35.25462386212958,-15149970.2109375,2027-04
2027,5,148.41700104744203,23146259.47076613,8241681.1844758075,35.60696792017346,-14904578.286290323,2027-05
